# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -3311 3 176 66306 45773841 3 ./nvidia/tu116/gr/sw_veid_bundle_init.bin
DUPTYPE_WITHIN_SAME_TREE -3311 3 176 66306 45774052 3 ./nvidia/tu104/gr/sw_veid_bundle_init.bin
DUPTYPE_FIRST_OCCURRENCE 910 1 264 66306 45770053 3 ./ar3k/ramps_0x01020201_26.dfu
DUPTYPE_WITHIN_SAME_TREE -910 1 264 66306 45770055 3 ./ar3k/ramps_0x01020201_40.dfu
DUPTYPE_FIRST_OCCURRENCE 591 1 316 66306 45767405 3 ./amdgpu/picasso_gpu_info.bin
DUPTYPE_WITHIN_SAME_TREE -591 1 316 66306 45767408 3 ./amdgpu/raven_gpu_info.bin
DUPTYPE_FIRST_OCCURRENCE 3393 4 403 66306 45775233 3 ./qcom/sdm845/Thundercomm/db845c/slpir.jsn
DUPTYPE_WITHIN_SAME_TREE -3393 4 403 66306 45775210 3 ./qcom/sm8250/Thundercomm/RB5/slpir.jsn
DUPTYPE_FIRST_OCCURRENCE 2853 2 403 66306 45775271 3 ./qcom/qrb4210/cdspr.jsn
DUPTYPE_WITHIN_SAME_TREE -2853 2 403 66306 45775205 3 ./qcom/sm8250/cdspr.jsn
DUPTYPE_WITHIN_SAME_TREE -2853 2 403 66306 45775227 3 ./qcom/sdm845/cdspr.jsn
DUPTYPE_FIRST_OCCURRENCE 2830 2 403 66306 45775323 3 ./qcom/qcm2290/adspr.jsn
DUPTYPE_WITHIN_SAME_TREE -2830 2 403 66306 45775226 3 ./qcom/sdm845/adspr.jsn
DUPTYPE_WITHIN_SAME_TREE -2830 2 403 66306 45775204 3 ./qcom/sm8250/adspr.jsn
DUPTYPE_WITHIN_SAME_TREE -2830 2 403 66306 45775270 3 ./qcom/qrb4210/adspr.jsn
DUPTYPE_FIRST_OCCURRENCE 2831 2 405 66306 45775328 3 ./qcom/qcm2290/adsps.jsn
